"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"22MZCI86","journalArticle","1990","Dunnell, Robert C.","Artifact Size and Lateral Displacement under Tillage: Comments on the Odell and Cowan Experiment","American Antiquity","","0002-7316","10.2307/281289","http://www.jstor.org/stable/281289","Odell and Cowan's (1987) experimental study largely confirms and extends results obtained by Lewarch and O'Brien (1981) on the effects of tillage on artifact distributions in the plow zone. In contrast to earlier studies, however, they find no relation between artifact size and lateral-displacement distance. The lack of relation between these two variables may be a consequence of defects in experimental design and analysis and should be considered suspect until better controlled data are available.","July 1, 1990","2014-09-18 15:55:37","2014-09-18 15:55:37","2014-09-18 15:55:37","592-594","","3","55","","American Antiquity","Artifact Size and Lateral Displacement under Tillage","","","","","","","","Copyright © 1990 Society for American Archaeology","","","","JSTOR","","","","/home/kris/.mozilla/firefox/72w7lie7.OCA-zotero/zotero/storage/MP2MFB54/Dunnell - 1990 - Artifact Size and Lateral Displacement under Tilla.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"239TTJ36","journalArticle","1978","Frankenstein, S. and M. Rowlands","The internal and regional context of early Iron Age society in southwestern Germany","Bulletin of the Institute of Archaeology, London","","","","","","1978","2011-05-01 23:04:36","2011-05-01 23:04:36","","73-112","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23JEME34","book","1971","Smith, Watson","Painted Ceramics of the Western Mound at Awatovi","","","","","","","1971","2015-10-14 15:48:44","2015-10-14 15:52:31","","","","","","","","","Papers of the Peabody Museum of Archaeology and Ethnology","38","","","Harvard University","Cambridge, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24374BX2","book","2006","Mrozowski, Stephen A","The Archaeology of Class in Urban America","","0-521-85394-X","","","","","2006","2011-01-24 14:58:08","2011-01-24 14:58:08","","","190","","","","","","","","","","Cambridge University Press","Cambridge, UK","","","","","","libros.unm.edu Library Catalog","E159.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2437BM6I","bookSection","2007","Tennent, Norman; van Elteren, Johannes T.","Analysis of Ancient and Historic and Glass and Ceramic Glazes by Laser Ablation Inductively Coupled Plasma Mass Spectrometry (LA-ICP-MS)","","","","","","","2007","2013-08-09 20:31:41","2013-08-09 20:45:59","","","","","","","","","","","","","","","","","","","","","","","","","","LA-ICP-MS; physical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"243MMMTW","book","1976","Grove, R.B.","Power Line Right-of-way for the Bureau of Reclamation.","","","","","","","1976","2015-08-07 15:09:14","2015-08-07 15:11:10","","","","","","","","","","","","","New Mexico State University. NMCRIS activity no. 4110. Copies available at ARMS, Santa Fe.","Farmington, NM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24ADV98M","journalArticle","1940","Bailey, Flora L.","Navaho Foods and Cooking Methods","American Anthropologist","","0002-7294","","http://www.jstor.org/stable/663108","","April 1, 1940","2014-09-12 19:09:10","2014-09-12 19:09:10","2014-09-12 19:09:10","270-290","","2","42","","American Anthropologist","","New Series","","","","","","","Copyright © 1940 American Anthropological Association","","","","JSTOR","","","","","http://www.jstor.org/stable/pdfplus/663108.pdf?acceptTC=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24AWHIHT","journalArticle","1999","Koster, Emlyn H.","In Search of Relevance: Science Centers as Innovators in the Evolution of Museums","Daedalus","","00115266","","http://www.jstor.org.libproxy.unm.edu/stable/20027575","","July 01, 1999","2011-02-20 16:10:30","2011-02-20 16:10:30","2011-02-20 16:10:30","277-296","","3","128","","","In Search of Relevance","","","","","","","","","","","","JSTOR","","ArticleType: research-article / Issue Title: America's Museums / Full publication date: Summer, 1999 / Copyright © 1999 American Academy of Arts & Sciences","","","http://www.jstor.org.libproxy.unm.edu/stable/pdfplus/20027575.pdf?acceptTC=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24BQ3SKB","magazineArticle","1988","Lekson, Stephen A.; Windes, Thomas C.; Stein, John R.; Judge, W. James","The Chaco Canyon Community","Scientific American","","","","","","1988","2012-05-21 21:07:58","2012-05-21 21:09:44","","100-109","","July","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24TZEM9E","journalArticle","1924","Jeancon, Jean Allard; Roberts, Frank H. H.","Excavation Work in the Pagosa-Piedra Field during the season of 1922","Colorado Magazine","","","","","","1924","2012-05-07 17:27:48","2012-05-07 17:28:58","","163-173","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26339MTU","bookSection","2006","Van Keuren, Scott","Decorating Glaze-Painted Pottery in East-Central Arizona","The Social Life of Pots","","","","","","2006","2012-03-16 01:40:58","2012-03-16 01:43:33","","86-104","","","","","","","","","","","University of Arizona Press","Tucson, AZ","","","","","","","","","","","","","","Habicht-Mauche, Judith; Eckert, Suzanne L; Huntley, Deborah L.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26IT624J","journalArticle","1981","Azuar Ruiz, R.","Algunas notas sobre el candil de cazoleta abierta y de pellizco hispano-musulman","","","","","","","1981","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","II Coloquio Internacional de Ceramica Medieval del Mediterraneo Occidental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27D44BMT","book","1999","Moore, James L.","Archaeology of the Mogollon Highlands: Settlement Systems and Adaptation. Volume 3: Analysis of Chipped and Ground Stone Artifacts","","","","","","","1999","2015-08-19 18:19:59","2015-08-19 18:20:51","","","","","3","","","","Archaeology Notes","232","","","Office of Archaeological Studies, Museum of New Mexico","Santa Fe, NM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27MR4RVI","bookSection","2005","Griffitts, Janet L.; Waters, Jennifer A.","BONE TOOL USE IN THE EARLY AGRICULTURAL PERIOD","Material cultures and lifeways of early agricultural communities in southern Arizona","","","","","","2005","2015-08-07 19:47:27","2015-08-07 19:50:14","","121-153","","","","","","","Anthropological Papers","35","","","Center for Desert Archaeology","Tucson, AZ","","","","","","","","","","","","","","Sliva, R. Jane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27RTCUXM","bookSection","2004","Durand, Aline; Leveau, Philippe","Farming in mediterranean France and rural settlement in the late roman and early medieval periods: the contribution from archaeology and environmental sciences in the last twenty years (1980-2000)","The Making of Feudal Agricultures?","","","","","","2004","2011-05-01 23:04:36","2011-05-01 23:04:36","","177-253","","","","","","","","","","","Brill","Leiden","","","","","","","","","","","","","","Barceló, Miquel; Sigaut, François","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28E6JDJ8","bookSection","2000","Dodds, Jerrilynn","Spaces","The Literature of al-Andalus","","","","","","2000","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","Cambridge University Press","Cambridge","","","","","","","","","","","","","","Maria Rosa Menocal, Raymond P. Scheindlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28FHCBZG","journalArticle","1979","Meltzer, D. J.","Paradigms and the Nature of Change in American Archaeology","American Antiquity","","","","","","1979","2011-05-01 23:04:36","2011-05-01 23:04:36","","644-657","","","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28IXG4GB","journalArticle","1890","Chamberlin, T. C.","The Method of Multiple Working Hypotheses","Science","","","","","","1890","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","92","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29FNRUS3","journalArticle","2002","Gomes, Flavio dos Santos","A 'Safe Haven': Runaway Slaves, 'Mocambos,' and Borders in Colonial Amazonia, Brazil","Hispanic American Historical Review","","","","","","2002","2011-05-01 23:04:36","2011-05-01 23:04:36","","469-498","","3","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29XGRG22","bookSection","2004","Merriman, Nick","Introduction: diversity and idssonance in public archaeology","Public Archaeology","","","","","","2004","2011-05-01 23:04:36","2011-05-01 23:04:36","","1-18","","","","","","","","","","","Routledge","London and New York","","","","","","","","","","","","","","Merriman, Nick","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2A2CR83G","bookSection","1984","Hampel, Joachim H.","Technical Considerations in X-ray Fluorescence Analysis of Obsidian","Obsidian Studies in the Great Basin","","","","","","1984","2015-10-08 15:06:17","2015-10-08 15:10:27","","21-25","","","","","","","Contributions of the University of California Archaeological Research Facility","45","","","","Berkeley","","","","","","","","","","","","","","Hughes, R.E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2A432WA3","thesis","2012","Anderson, Jessica E.","Archaeological Investigations of the River Bluffs Open Space, Windsor, Colorado: A Case Study in Cooperation Between Artifact Collectors, the Public, and Archaeologists","","","","","","","2012","2015-08-07 19:22:43","2015-08-07 19:25:28","","","","","","","","","","","","","Department of Anthropology, Colorado State University","Fort Collins, CO","","","Masters thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AFQA7CI","bookSection","1985","Stark, Barbara L.","Archaeological Identification of Pottery Production Locations: Ethnoarchaeological and Archaeological Data in Mesoamerica","Decoding Prehistoric Ceramics","","","","","","1985","2015-10-14 15:59:10","2015-10-14 16:08:10","","158-194","","","","","","","","","","","Southern Illinois University Press","Carbondale","","","","","","","","","","","","","","Nelson, B.A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AMKP82N","journalArticle","1982","Myres, Sandra L.","Mexican Americans and Westering Anglos: A Feminine Perspective","New Mexico Historical Review","","","","","","1982","2014-09-17 14:57:58","2014-09-17 14:59:25","","317-334","","4","57","","","","","","","","","","","","","","","","","","","","","historic New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AT4PQ9T","bookSection","2002","Amigues, Francois","Las Importaciones De Cerámicas Doradas Valencianas (Talleres De Paterna En El Languedoc-Rosellón)","La Cerámica De Paterna: Reflejos Del Mediterráneo","","","","","","2002","2011-05-01 23:04:36","2011-05-01 23:04:36","","58-83","","","","","","","","","","","Generalitat Valenciano","Valencia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2B2GZ3B9","bookSection","1982","Martin Gomez, Carmen","Una forma ceramica mudejar: anafes","II Simposio Internacional de Mudejarismo: Arte, Teruel, 19-21 noviembre 1981","","","","","","1982","2011-05-01 23:04:36","2011-05-01 23:04:36","","87-91","","","","","","","","","","","Instituto de Estudios Terulenses de la Excma Diputacion Provincial de Teruel (CSIC)","Teruel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BHN696N","book","1972","Jefferson, J.; Delaney, R. W.; Thompson, G. C.","The Southern Utes: A Tribal History","","","","","","","1972","2015-09-21 16:43:14","2015-09-21 16:44:25","","","","","","","","","","","","","Southern Ute Tribe","Ignacio, CO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2C83EENE","book","2006","","GIS and archaeological site location modeling","","0-415-31548-4 978-0-415-31548-7","","","","""  Although archaeologists are using GIS technology at an accelerating rate, publication of their work has not kept pace. A state-of-the-art exploration the subject, GIS and Archaeological Site Location Modeling pulls together discussions of theory and methodology, scale, data, quantitative methods, and cultural resource management and uses location models and case studies to illustrate these concepts. This book, written by a distinguished group of international authors, reassesses the practice of predictive modeling as it now exists and examines how it has become useful in new ways.  A guide to spatial procedures used in archaeology, the book provides a comprehensive treatment of predictive modeling. It draws together theoretical models and case studies and explains how modeling may be applied to future projects. The book illustrates the various aspects of academic and practical applications of predictive modeling. It also discusses the need to assess the reliability of the results and the implications of reliability assessment on the further development of predictive models.  Of the books available on GIS, some touch on archaeological applications but few cover the topic in such depth. Both up to date and containing case studies from a wide range of geographical locations including Europe, the USA, and Australia, this book sets a baseline for future developments.""--Publisher's website.","2006","2014-09-18 15:30:16","2014-09-18 15:55:02","","","","","","","","","","","","","Taylor & Francis","Boca Raton, FL","English","","","","","Open WorldCat","","","","","","","","Wescott, Konnie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CIP3ZGH","bookSection","1981","Burns, R. Ignatius","Socioeconomic Structure and Continuity: Medieval Spanish Islam in the Tax Records of Crusader Valencia","The Islamic Middle East, 700-1900: Studies in Economic and Social History","","","","","","1981","2011-05-01 23:04:36","2011-05-01 23:04:36","","251-328","","","","","","","","","","","Princeton University Press","Princeton","","","","","","","","","","","","","","Udovitch, E.L.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2D8BFTNP","bookSection","1995","Amigues, Francois","La Cerámica Valenciana: Sus Técnicas De Fabricación","Spanish Medieval Ceramics in Spain and the British Isles","","","","","","1995","2011-05-01 23:04:36","2011-05-01 23:04:36","","126-176","","","","","","","British Archaeological Research International Series","","","","Archaeopress","Oxford","","","","","","","","","","","","","","Gerrard, C.M. and A. Gutierrez and A. G. Vince","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2D94GACT","book","1983","Hoxie, Frederick","The Final Promise: The Campaign to Assimilate the Indian, 1880-1920","","","","","","","1983","2015-08-19 15:11:53","2015-08-19 15:12:45","","","","","","","","","","","","","University of Nebraska Press","Lincoln, NE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DN79CJ4","journalArticle","1998","Graves, Michael W.","The History of Method and Theory in the Study of Prehistoric Puebloan Pottery Style in the American Southwest","Journal of Archaeological Method and Theory","","10725369","","http://www.jstor.org.libproxy.unm.edu/stable/20177390","The history of Americanist archaeology can be profitably approached through an examination of ceramic design studies in the puebloan region of the American Southwest. An intellectual tradition is represented throughout these studies, grounded in the assumption that ceramic design variation can be reflected, among other things, in prehistoric social groupings. Within this tradition, a number of differences in method, theory, and application can be distinguished, including (1) the classificatory systems employed, (2) the spatial and temporal scales at which ceramic design variation was studied, and (3) the potential functional role of stylistic attributes on pottery. The debates, both intellectual and social, surrounding the development of method and theory in the New Archaeology are clarified by this historical review, as are the transitions to Culture History and from the New Archaeology in the American Southwest.","December 01, 1998","2011-01-16 22:40:28","2011-01-16 22:40:28","2011-01-16 22:40:28","309-343","","4","5","","","","","","","","","","","","","","","JSTOR","","ArticleType: research-article / Full publication date: Dec., 1998 / Copyright © 1998 Springer","","","http://www.jstor.org.libproxy.unm.edu/stable/pdfplus/20177390.pdf?acceptTC=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EQ3XQ58","journalArticle","2005","Cappitelli, F. and C. Sorlini","From Papyrus to Compact Disc: the Microbial Deterioration of Documentary Heritage","Critical Reviews in Microbiology","","","","","","2005","2011-05-01 23:04:36","2011-05-01 23:04:36","","1-10","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ETMTMWE","book","2004","Caskey, Jill","Art and Patronage in the Medieval Mediterranean","","","","","","","2004","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","Cambridge University Press","Cambridge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2F76IK67","journalArticle","1970","Bordes, Prancois and Denise de Sonneville-Bordes","The Significance of Variability in Paleolithic Assemblages","World Archaeology","","","","","","1970","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2F7M7GS2","manuscript","1982","Neily, Robert B.","Basketmaker Subsistence and Settlement along the San Juan River, Utah","","","","","","","1982","2015-10-13 20:31:35","2015-10-13 20:32:43","","","","","","","","","","","","","","Ms. on file, Antiquities Section, Utah Division of State History, Salt Lake City","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FKP8BZP","bookSection","2005","Meskell, Lynn","Introduction: Object Orientations","Archaeologies of Materiality","","","","","","2005","2011-05-01 23:04:36","2011-05-01 23:04:36","","1-17","","","","","","","","","","","Blackwell Publishing","Oxford, MA","","","","","","","","","","","","","","Meskell, Lynn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FS2QSZ2","book","1971","Rohn, Arthur H.","Mug House, Mesa Verde National Park (Wetherill Mesa Excavations).","","","","","","","1971","2015-08-07 21:55:50","2015-08-07 21:56:33","","","","","","","","","Archaeological Research Series","7D","","","National Park Service","Washington D.C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FT2CIAV","bookSection","2001","Douglas, Mary","Why do people want goods?","Consumption: Critical Concepts for the Social Sciences","","","","","","2001","2011-05-01 23:04:36","2011-05-01 23:04:36","","262-271","","","","","","","","","","","Routledge Press","London","","","","","","","","","","","","","","Miller, Daniel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GP2JN4H","journalArticle","2007","Galle, Jillian E.","Costly Signaling and Gendered Social Strategies Among Slaves in the 18th-century Chesapeake: an archaeological perspective","","","","","","","2007","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","72nd Annual Meeting of the Society for American Archaeology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GXCP6WG","book","1916","Harrington, John Peabody","The Ethnography of the Tewa Indians","","","","","","","1916","2015-09-19 17:58:17","2015-09-19 18:14:02","","","","","","","","","Annual Report of the Bureau of American Ethnology","29th","","","Government Printing Office","Washington DC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2I2A68D2","bookSection","1979","Opler, Morris E.","Mescalero Apache","Southwest","","","","","","1979","2015-09-24 16:33:10","2015-10-16 03:01:09","","419-439","","","","","","","Handbook of North American Indians","Vol. 10","","","Smithsonian Institution","Washington D.C.","","","","","","","","","","","","","","Ortiz, Alfonso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2INJG8KB","bookSection","2011","Armstrong, Karen; Morales, Thomas M.; Snow, David H.","Tunque Redux: A Work in Progress","Words and Sherds: papers in Honor of Meliha S. Duran and David T. Kirkpatrick","","","","","","2011","2015-08-17 20:41:48","2015-09-10 16:42:44","","33-42","","","","","","","Papers of the Archaeological Society of New Mexico","","","","Archaeological Society of New Mexico","Albuquerque, NM","","","","","","","","","","","","","","Brown, Emily; Condie, Carol J.; Crotty, Helen K.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JCESDC4","journalArticle","2001","Mallea-Olaetxe, J.","Carving Out History: The Basque Aspens","Forest History Today","","","","","","2001","2011-02-24 05:22:09","2011-02-24 05:23:18","","44-50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JDDMKWP","bookSection","1999","Quesenberry, Stephen V.","Recent United Nations Initiatives Concerning the Rights of Indigenous Peoples.","Contemporary Native American Political Issues","","","","","","1999","2011-05-01 23:04:36","2011-05-01 23:04:36","","103-118","","","","","","","","","","","AltaMira Press","Walnut Creek","","","","","","","","","","","","","","Johnson, Troy R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JDREUQM","journalArticle","2004","Ponting, Matthew","The scanning electron microscope and the archaeologist","Physics Education","","","","","","2004","2011-05-01 23:04:36","2011-05-01 23:04:36","","166-170","","2","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JT3TTA7","report","1992","Grady, James","Archaeological Mitigation Handicapped Access Trail at Chimney Rock Archaeological Area","","","","","","","1992","2012-05-21 22:59:31","2012-05-21 23:00:48","","","","","","","","","","","","","Huerfano Consultants","USFS San Juan National Forest, Pagosa Ranger District","","","internal report","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SJNF #13-825","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JV2AXGG","journalArticle","2005","Crawford, Kristina","In the Sheep: Aspen Carvings as Indicators of Land Capacity and Use","Society for California Archaeology Newsletter","","","","","","2005","2011-02-24 12:26:46","2011-02-24 12:33:04","","26-29","","1","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
